player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0030155,D.Harris,2020,1,DET,0,1,0.0,0,0.0,0.0,13.0,0.0,0.0,-0.7492729149525985,0,0.0,0.0
00-0030155,D.Harris,2020,2,NYG,0,1,0.0,0,0.0,0.0,28.0,0.0,0.0,-0.49761950480751693,0,0.0,0.0
00-0030155,D.Harris,2020,3,ATL,3,3,15.0,0,0.0,0.0,7.0,8.0,1.0,0.2713209897046909,0,4.5,1.5
00-0030155,D.Harris,2020,4,IND,1,2,6.0,0,0.0,0.0,5.0,5.0,0.0,-1.066752992280672,0,1.6,0.6000000000000001
00-0030155,D.Harris,2020,5,TB,1,1,9.0,0,0.0,0.0,9.0,0.0,1.0,0.47440468869172037,0,1.9,0.9
00-0030155,D.Harris,2020,6,CAR,0,3,0.0,0,0.0,0.0,21.0,0.0,0.0,-6.474918590742163,0,0.0,0.0
00-0030155,D.Harris,2020,7,LA,2,3,15.0,0,0.0,0.0,9.0,12.0,0.0,0.2341368270572275,0,3.5,1.5
00-0030181,J.Doyle,2020,1,JAX,3,4,49.0,0,0.0,0.0,43.0,18.0,2.0,4.30578930710908,0,7.9,4.9
00-0030181,J.Doyle,2020,4,CHI,1,1,12.0,0,0.0,0.0,11.0,1.0,1.0,2.243349852215033,0,2.2,1.2000000000000002
00-0030181,J.Doyle,2020,5,CLE,0,2,0.0,0,0.0,0.0,12.0,0.0,0.0,-1.8816798267653212,0,0.0,0.0
00-0030181,J.Doyle,2020,6,CIN,3,3,29.0,1,1.0,1.0,24.0,5.0,2.0,-2.3939099086564966,0,9.9,6.9
00-0030181,J.Doyle,2020,8,DET,2,3,18.0,1,0.0,0.0,17.0,14.0,2.0,1.8855999477091245,0,9.8,7.8
00-0030181,J.Doyle,2020,9,BAL,0,2,0.0,0,0.0,0.0,8.0,0.0,0.0,-1.8391956772077886,0,0.0,0.0
00-0030181,J.Doyle,2020,11,GB,1,2,6.0,1,0.0,0.0,8.0,0.0,1.0,1.2397866058745421,0,7.6,6.6
00-0030181,J.Doyle,2020,12,TEN,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.5197231102501974,0,0.0,0.0
00-0030181,J.Doyle,2020,13,HOU,1,1,12.0,0,0.0,0.0,4.0,8.0,1.0,0.8820455381646752,0,2.2,1.2000000000000002
00-0030181,J.Doyle,2020,14,LV,3,3,44.0,0,0.0,0.0,24.0,20.0,1.0,3.0673696668818593,0,7.4,4.4
00-0030181,J.Doyle,2020,15,HOU,2,2,14.0,0,0.0,0.0,7.0,7.0,1.0,1.6755330259911716,0,3.4000000000000004,1.4000000000000001
00-0030181,J.Doyle,2020,16,PIT,4,6,50.0,0,0.0,0.0,62.0,6.0,2.0,3.095486538077239,0,9.0,5.0
00-0030181,J.Doyle,2020,17,JAX,3,3,17.0,0,0.0,0.0,5.0,12.0,0.0,0.24970939953345805,0,4.7,1.7000000000000002
00-0030181,J.Doyle,2020,18,BUF,7,9,70.0,1,0.0,0.0,71.0,10.0,4.0,4.541905117046554,1,22.0,15.0
00-0030216,J.Hill,2020,1,TB,0,1,0.0,0,0.0,0.0,22.0,0.0,0.0,-0.6078958477592096,0,0.0,0.0
00-0030216,J.Hill,2020,2,LV,1,2,16.0,0,0.0,0.0,10.0,20.0,1.0,0.41939473198726773,0,2.6,1.6
00-0030216,J.Hill,2020,4,DET,1,1,7.0,0,1.0,0.0,3.0,4.0,1.0,1.6818284767214209,0,1.7000000000000002,0.7000000000000001
00-0030216,J.Hill,2020,5,LAC,1,1,1.0,0,0.0,0.0,0.0,1.0,0.0,-0.47324871429009363,0,1.1,0.1
00-0030216,J.Hill,2020,7,CAR,1,1,0.0,0,0.0,0.0,-1.0,1.0,0.0,-0.8086706702597439,0,1.0,0.0
00-0030216,J.Hill,2020,8,CHI,1,1,7.0,0,0.0,0.0,-3.0,10.0,0.0,0.3202321615535766,0,1.7000000000000002,0.7000000000000001
00-0030216,J.Hill,2020,9,TB,2,2,14.0,1,0.0,0.0,14.0,0.0,2.0,2.3250949368230067,0,9.4,7.4
00-0030216,J.Hill,2020,14,PHI,1,1,1.0,0,0.0,0.0,0.0,1.0,0.0,-0.44704836304299533,0,1.1,0.1
00-0030216,J.Hill,2020,19,TB,1,1,-3.0,0,0.0,0.0,-7.0,4.0,0.0,-0.9859043344622478,0,0.7,-0.30000000000000004
00-0030443,L.Toilolo,2020,1,PIT,1,1,13.0,0,0.0,0.0,5.0,8.0,1.0,1.0752800987102091,0,2.3,1.3
