player_id,player_name,season,week,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,fantasy_points_ppr,fantasy_points
00-0030496,L.Bell,2020,12,TB,5,22.0,0,0.0,0.0,2.0,-0.8037895464804024,0,2,2,10.0,0,5.2,3.2
00-0030496,L.Bell,2020,13,DEN,11,40.0,0,0.0,0.0,1.0,0.4276045381266158,0,2,3,15.0,0,7.5,5.5
00-0030496,L.Bell,2020,14,MIA,2,21.0,0,0.0,0.0,2.0,1.641079272085335,0,2,3,14.0,0,5.5,3.5
00-0030496,L.Bell,2020,15,NO,15,62.0,1,0.0,0.0,6.0,-1.511852991010528,0,1,1,14.0,0,14.600000000000001,13.600000000000001
00-0030496,L.Bell,2020,16,ATL,7,30.0,0,0.0,0.0,3.0,-1.1602428724290803,0,1,3,9.0,0,4.9,3.9000000000000004
00-0030496,L.Bell,2020,19,CLE,2,6.0,0,0.0,0.0,0.0,-0.5947645446285605,0,0,3,0.0,0,0.6000000000000001,0.6000000000000001
00-0030513,L.Murray,2020,1,TB,15,48.0,0,0.0,0.0,3.0,-1.9422242275322787,0,0,1,0.0,0,4.800000000000001,4.800000000000001
00-0030513,L.Murray,2020,2,LV,3,14.0,0,0.0,0.0,1.0,1.6868823715485632,0,2,2,19.0,0,5.300000000000001,3.3000000000000003
00-0030513,L.Murray,2020,3,GB,12,58.0,0,0.0,0.0,4.0,1.3020799852674827,0,1,1,7.0,0,7.5,6.5
00-0030513,L.Murray,2020,4,DET,14,64.0,2,0.0,0.0,6.0,6.47940618993016,0,1,2,19.0,0,21.3,20.3
00-0030513,L.Murray,2020,5,LAC,8,34.0,0,0.0,0.0,0.0,-1.0823101592250168,0,2,2,23.0,0,7.7,5.7
00-0030513,L.Murray,2020,7,CAR,11,47.0,0,0.0,0.0,2.0,-1.6446903590695001,0,1,1,9.0,0,6.6000000000000005,5.6000000000000005
00-0030513,L.Murray,2020,8,CHI,8,17.0,0,0.0,0.0,1.0,-3.16460204689065,0,3,3,14.0,0,6.1,3.1
00-0030513,L.Murray,2020,9,TB,10,39.0,0,0.0,0.0,3.0,0.051661456120200455,0,2,2,3.0,0,6.2,4.2
00-0030513,L.Murray,2020,10,SF,9,57.0,0,0.0,0.0,3.0,-0.8274915287038311,0,0,0,0.0,0,5.7,5.7
00-0030513,L.Murray,2020,11,ATL,12,49.0,0,0.0,0.0,2.0,-3.067463583603967,0,2,2,36.0,0,10.5,8.5
00-0030513,L.Murray,2020,12,DEN,19,124.0,2,1.0,0.0,4.0,7.49462841078639,0,1,1,2.0,0,25.6,24.6
00-0030513,L.Murray,2020,13,ATL,5,17.0,0,0.0,0.0,1.0,-0.2749520934885368,0,2,2,0.0,0,3.7,1.7000000000000002
00-0030513,L.Murray,2020,14,PHI,4,13.0,0,0.0,0.0,0.0,-1.0001017289469019,0,1,1,-6.0,0,1.7000000000000002,0.7000000000000001
00-0030513,L.Murray,2020,15,KC,4,3.0,0,0.0,0.0,0.0,-2.960398920113221,0,2,3,26.0,1,10.9,8.9
00-0030513,L.Murray,2020,16,MIN,12,72.0,0,0.0,0.0,6.0,2.1994403870776296,0,3,3,24.0,0,12.600000000000001,9.600000000000001
00-0030513,L.Murray,2020,18,CHI,4,9.0,0,0.0,0.0,0.0,-1.4739993668626994,0,2,2,11.0,1,10.0,8.0
00-0030578,C.Patterson,2020,1,DET,4,19.0,0,0.0,0.0,2.0,1.9683830604190007,0,1,1,12.0,0,4.1,3.1
00-0030578,C.Patterson,2020,2,NYG,7,25.0,0,0.0,0.0,1.0,-1.2074129401007667,0,2,2,8.0,0,5.300000000000001,3.3000000000000003
00-0030578,C.Patterson,2020,3,ATL,4,13.0,0,0.0,0.0,1.0,0.5071928142569959,0,0,0,0.0,0,1.3,1.3
00-0030578,C.Patterson,2020,4,IND,3,5.0,0,0.0,0.0,0.0,-2.745713736396283,0,1,2,0.0,0,1.5,0.5
00-0030578,C.Patterson,2020,5,TB,3,7.0,0,0.0,0.0,1.0,-0.577920978248585,0,3,3,38.0,0,7.5,4.5
