Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards,Year
10,Kevin Huber,36,CIN,P,17,0,66,3064,46.4,235,2709,41.0,61,6,9.1,22,33.3,0,2025
11,Bryan Anger,33,DAL,P,17,0,65,3143,48.4,167,2896,44.6,63,4,6.2,24,36.9,0,2025
12,Jack Fox,25,DET,P,17,0,65,3198,49.2,308,2750,42.3,70,7,10.8,17,26.2,0,2025
13,AJ Cole III,26,LVR,P,17,0,64,3202,50.0,347,2715,42.4,71,7,10.9,28,43.8,0,2025
14,Logan Cooke,26,JAX,P,15,0,64,3026,47.3,173,2833,44.3,68,1,1.6,28,43.8,0,2025
15,Pat O'Donnell,30,CHI,P,17,0,62,2865,46.2,375,2390,38.5,72,5,8.1,19,30.6,0,2025
16,Tress Way,31,WAS,P,16,0,60,2901,48.4,237,2524,42.1,66,7,11.7,22,36.7,0,2025
17,Rigoberto Sanchez,27,IND,P,17,0,59,2627,44.5,267,2340,39.7,79,1,1.7,24,40.7,0,2025
18,Mitch Wishnowsky,29,SFO,P,17,0,57,2566,45.0,156,2310,40.5,67,5,8.8,21,36.8,0,2025
19,Bradley Pinion,27,TAM,P,15,0,56,2378,42.5,164,2174,38.8,65,2,3.6,23,41.1,0,2025
20,Arryn Siposs,29,PHI,P,17,0,55,2416,43.9,226,2130,38.7,68,3,5.5,17,30.9,0,2025
21,Corey Bojorquez,25,GNB,P,17,0,53,2467,46.5,268,2119,40.0,82,4,7.5,18,34.0,0,2025
22,Matt Haack,27,BUF,P,17,0,52,2234,43.0,94,2000,37.7,63,7,13.5,18,34.6,1,2025
23,Johnny Hekker,31,LAR,P,17,0,51,2252,44.2,63,2169,42.5,59,1,2.0,23,45.1,0,2025
24,Andy Lee,39,ARI,P,16,0,51,2501,49.0,321,2080,40.8,62,5,9.8,11,21.6,0,2025
25,Jake Bailey,24,NWE,P,17,0,49,2316,47.3,138,2058,39.6,71,6,12.2,23,46.9,3,2025
26,Dustin Colquitt,39,2TM,P,11,0,48,2134,44.5,198,1876,38.3,66,3,6.3,13,27.1,1,2025
26,Dustin Colquitt,39,ATL,P,6,0,23,1096,47.7,102,974,40.6,66,1,4.3,7,30.4,1,2025
26,Dustin Colquitt,39,CLE,P,5,0,25,1038,41.5,96,902,36.1,56,2,8.0,6,24.0,0,2025
27,Brett Kern,35,TEN,P,14,0,47,2105,44.8,186,1899,40.4,59,1,2.1,18,38.3,0,2025
28,Ty Long,28,LAC,P,17,0,46,2091,45.5,324,1727,36.7,69,2,4.3,10,21.7,1,2025
